,col,mean,std
0,Unnamed: 0,505.0,291.9948629685118
1,volume,297064.5143422354,200185.83259453916
2,convexity,0.8643131150067219,0.03480921409587752
3,maj_dim,128.61955052804623,20.740334742220764
4,min_dim,59.134866387188886,13.17052912665198
5,eigvec1,71.01535671498432,26.158888345969878
6,eigvec2,64.50921395815396,23.210629860667296
7,eigvec3,29.4450407856572,14.626353482347728
8,curv-0.5,0.001527712840064629,0.0063830891107526395
9,curv-0.4,0.003690439654496551,0.011156808870983893
10,curv-0.3,0.013106053455524878,0.02186340197952589
11,curv-0.19999999999999996,0.06932184025916363,0.05860844346587621
12,curv-0.09999999999999998,0.48840923086049615,0.2756677070407135
13,curv0.0,4.067779350113468,0.7159504253623408
14,curv0.10000000000000009,3.8659010979394295,0.5322752938672662
15,curv0.20000000000000007,1.1655820494638136,0.36434200049786936
16,curv0.30000000000000004,0.2655153006113804,0.1515052122281318
17,curv0.4,0.059166924798204026,0.058091755501990305
18,intens-20.0,0.0009538808535840201,0.0005837480955172738
19,intens-10.0,0.0011920908543225635,0.0009107801406889633
20,intens0.0,0.08225106567650682,0.009351511002636943
21,intens10.0,0.002469897911116347,0.002639764600667121
22,intens20.0,0.0031167388268206943,0.0035414632691831717
23,intens30.0,0.0026683176254054817,0.0026259689656235275
24,intens40.0,0.0019280144057858106,0.0014756660189644008
25,intens50.0,0.0016809230568667988,0.0013196292334102348
26,intens60.0,0.001711847145372187,0.0014584198810359385
27,intens70.0,0.002027224104851938,0.0017196344402499845
